,USER_ID,date,call_duration,db_value_mean,db_value_max,db_value_min,lux_value_mean,lux_value_max,lux_value_min,msg_num,pic_num,sleep_duration,step_count,daily_score,weekly_score,label
119,23102010,20231022,,50.333333333333336,68.0,42.0,1.0,4.0,0.0,,2.0,190.0,,14.0,,2
120,23102010,20231023,,43.0,43.0,43.0,71.0,71.0,71.0,,,,,,,2
121,23102011,20231020,,49.666666666666664,57.0,39.0,107.0,124.0,90.0,,,,,15.0,17.0,2
122,23102012,20231020,,53.5,64.0,43.0,544.5,805.0,284.0,,10.0,,5770.0,,25.0,2
123,23102012,20231021,,65.0,77.0,48.0,465.6666666666667,781.0,72.0,6.0,9.0,230.0,4136.0,,,2
124,23102012,20231022,,64.0,64.0,64.0,2.0,2.0,2.0,,4.0,360.0,3807.0,,,2
125,23102012,20231023,,52.0,57.0,47.0,9.5,18.0,1.0,,,,14.0,,,2
126,23102013,20231020,,47.0,50.0,44.0,156.0,263.0,49.0,1.0,3.0,270.0,4977.0,8.0,18.0,0
127,23102013,20231021,,39.5,40.0,39.0,51.5,85.0,18.0,1.0,4.0,270.0,6476.0,8.0,,0
128,23102013,20231022,,60.333333333333336,62.0,58.0,11.333333333333334,17.0,2.0,1.0,1.0,534.0,8090.0,8.0,,0
129,23102013,20231023,,42.0,42.0,42.0,13.0,13.0,13.0,,,,,,,0
130,23102014,20231020,,56.5,74.0,39.0,137.33333333333334,216.0,11.0,,29.0,,,9.0,21.0,0
131,23102014,20231022,,54.0,71.0,43.0,96.33333333333333,218.0,0.0,,8.0,350.0,2280.0,8.0,,0
132,23102015,20231020,,48.0,48.0,48.0,0.0,0.0,0.0,1.0,15.0,,,11.0,17.0,0
133,23102015,20231021,,41.0,41.0,41.0,30.5,47.0,14.0,,10.0,,,9.0,,0
134,23102016,20231020,,42.0,55.0,31.0,134.2,218.0,56.0,,1.0,,,10.0,22.0,0
135,23102016,20231021,,60.0,75.0,40.0,110.0,299.0,0.0,2.0,1.0,440.0,4955.0,9.0,,0
136,23102016,20231022,,77.0,83.0,71.0,136.5,234.0,39.0,1.0,1.0,470.0,3683.0,13.0,,0
137,23102017,20231020,,56.75,70.0,34.0,171.75,205.0,94.0,,2.0,370.0,5710.0,10.0,17.0,0
138,23102017,20231021,,52.0,52.0,52.0,125.0,125.0,125.0,,,430.0,113.0,,,0
139,23102017,20231022,,42.5,51.0,34.0,145.5,162.0,129.0,,,420.0,27.0,,,0
140,23102017,20231023,,47.0,47.0,47.0,0.0,0.0,0.0,,1.0,,43.0,,,0
141,23102018,20231020,,55.25,62.0,42.0,18.75,28.0,0.0,3.0,11.0,,,8.0,14.0,0
142,23102018,20231021,,54.333333333333336,62.0,40.0,123.33333333333333,329.0,11.0,,1.0,,,8.0,,0
143,23102018,20231022,,62.0,74.0,50.0,29.5,40.0,19.0,,,,,8.0,,0
144,23102102,20231022,,50.333333333333336,63.0,41.0,27.333333333333332,81.0,0.0,2.0,4.0,,,,,0
145,23102102,20231023,,68.0,69.0,67.0,86.5,111.0,62.0,,,,,,,0
146,23102104,20231021,,48.0,61.0,35.0,142.0,152.0,132.0,,5.0,1050.0,262.0,,14.0,0
147,23102104,20231022,,52.666666666666664,67.0,41.0,65.66666666666667,92.0,33.0,,47.0,,18473.0,8.0,,0
148,23102105,20231021,,54.0,54.0,54.0,104.5,161.0,48.0,,1.0,,,11.0,18.0,0
149,23102105,20231022,,50.0,50.0,50.0,15.0,15.0,15.0,,,390.0,205.0,9.0,,0
150,23102108,20231021,,38.5,53.0,32.0,66.0,76.0,50.0,,10.0,,,10.0,22.0,0
151,23102108,20231022,,35.0,35.0,35.0,86.0,86.0,86.0,,12.0,,,12.0,,0
152,23102109,20231021,,36.0,36.0,36.0,138.0,138.0,138.0,,40.0,,,,11.0,0
153,23102109,20231022,,67.5,76.0,59.0,3646.5,7291.0,2.0,1.0,41.0,,,8.0,,0
154,23102110,20231021,,55.0,55.0,55.0,475.0,475.0,475.0,,5.0,,,12.0,17.0,0
155,23102110,20231022,,49.0,64.0,34.0,297.0,555.0,39.0,,1.0,,,12.0,,0
